
2017-10-31T21:55:17.528Z,99
2017-10-31T21:55:17.890Z,135
2017-10-31T21:55:17.990Z,170
2017-10-31T21:55:18.167Z,89
2017-10-31T21:55:18.488Z,58
2017-10-31T21:55:18.715Z,135
2017-10-31T21:55:18.960Z,153
2017-10-31T21:55:19.288Z,63
2017-10-31T21:55:19.486Z,119
2017-10-31T21:55:19.650Z,145
2017-10-31T21:55:35.681Z,86
2017-10-31T21:55:35.887Z,53
2017-11-03T06:54:58.730Z,170
2017-11-03T06:55:11.409Z,89
2017-11-03T06:55:11.937Z,142
2017-11-03T07:05:59.352Z,170
2017-11-03T10:54:40.735Z,45
2017-11-03T10:54:42.230Z,91
2017-11-03T10:54:43.666Z,140
2017-11-03T10:54:44.983Z,147
2017-11-03T10:54:46.431Z,94
2017-11-03T10:54:47.964Z,91
2017-11-03T10:54:57.086Z,124
2017-11-03T10:54:58.616Z,145
2017-11-03T10:55:00.046Z,91
2017-11-03T10:55:01.583Z,43
2017-11-03T10:55:03.121Z,94
2017-11-03T10:55:04.657Z,153
2017-11-03T10:55:06.432Z,191
2017-11-03T10:55:07.931Z,216
2017-11-03T10:55:09.479Z,237
2017-11-03T10:55:10.790Z,239
2017-11-03T10:55:12.311Z,163
2017-11-03T10:55:13.800Z,0
2017-11-03T10:55:15.549Z,140
2017-11-03T10:55:17.154Z,242
2017-11-03T10:55:18.687Z,255
2017-11-03T10:55:20.327Z,140
2017-11-03T10:55:21.860Z,40
2017-11-03T10:55:23.533Z,0
2017-11-03T10:55:24.958Z,40
2017-11-03T10:55:26.365Z,12
2017-11-03T10:55:27.833Z,0
2017-11-03T10:55:29.470Z,38
2017-11-03T10:55:30.880Z,15
2017-11-03T10:55:32.296Z,10
2017-11-03T10:55:33.741Z,5
2017-11-03T10:55:35.203Z,0
2017-11-04T18:02:06.556Z,255
2017-11-04T18:02:30.638Z,219
2017-11-04T18:02:31.967Z,186
2017-11-04T18:02:33.648Z,150
2017-11-04T18:02:34.873Z,137
2017-11-04T18:02:36.208Z,132
